Date,Bergen County,Middlesex County,Essex County,Hudson County,Monmouth County,Ocean County,Union County,Camden County,Passaic County,Morris County,Burlington County,Mercer County,Somerset County,Gloucester County,Atlantic County,Cumberland County,Sussex County,Hunterdon County,Warren County,Cape May County,Salem County
9/30/2009,433138.4499,326483.4008,359596.5917,325564.4507,371493.2477,270878.4706,353745.1447,190308.1791,315865.49,412837.902,239627.4064,258715.9186,408448.0227,220148.0314,211711.1082,159135.6388,256382.8606,394663.6266,265837.5679,382243.4897,168964.1417
10/31/2009,432073.7517,325202.3858,357005.2032,325955.8517,369913.4904,269994.3169,352808.3898,189978.7399,313659.8973,411059.3867,238411.2756,257999.3073,407042.4019,219534.3115,210506.4737,158487.5765,256715.2457,394101.3117,263802.7867,381804.297,167942.4695
11/30/2009,431546.6221,324238.9732,354319.3987,327257.8014,368514.7201,269411.4521,350439.217,190350.9623,311817.4148,409463.6197,238000.0049,257725.6648,407045.2094,219119.2247,209123.643,159241.0238,259020.3761,393615.0265,261410.7332,382135.2847,167214.62
12/31/2009,432459.2102,324043.2589,352620.1785,326775.8492,367078.6796,269211.8484,348282.2037,190524.542,310794.757,408737.7146,238252.7462,257758.5847,407639.1656,218855.6984,208243.8204,159539.4195,261643.3112,395999.7162,260308.1549,381189.2887,166615.5244
1/31/2010,433091.4617,323965.0602,351521.13,326701.1579,366489.6946,268965.2087,347061.725,190388.0066,310065.3786,408721.4832,238894.2224,257975.03,408580.4059,218832.8594,208015.7713,158567.9585,263532.8308,397699.279,260791.5045,380607.2664,166651.1979
2/28/2010,434120.7819,324520.5965,350691.013,323880.8065,366467.5482,269017.5953,347367.1787,189574.3103,309575.9632,410443.7849,239199.8405,259011.4041,407875.1622,218897.6959,208466.0328,155979.7818,266199.0676,398887.0796,261205.165,380195.4578,166540.087
3/31/2010,433462.9099,324917.0782,349379.624,320904.5576,367293.6754,269186.295,350323.0084,189051.7229,309059.9247,411198.0922,239035.0489,260544.3843,408192.12,219005.5519,208326.8636,153208.1742,267103.4051,400046.5983,260059.7373,380405.9562,166299.7291
4/30/2010,432472.9089,325128.086,348145.9019,321449.7517,367279.0862,269260.6748,352560.9548,188590.8086,308593.3443,410948.8381,238705.4102,262531.281,408384.588,219075.1803,208085.2146,150409.2636,268180.5069,401988.691,257307.8387,381559.2864,165725.2114
5/31/2010,431300.7812,324963.6677,347534.7576,324879.9976,366523.1534,268723.7707,354484.3388,188737.1587,308253.5801,409427.9397,237963.5882,263163.2208,410355.1115,218518.7183,207505.6137,148952.515,268713.0544,404065.1945,254248.1993,381192.7382,165279.9498
6/30/2010,430903.4417,324353.4748,348742.2965,329155.8543,364819.5732,267707.0826,354275.1729,189025.9293,308342.1107,408483.2921,237027.1607,262864.5805,411361.4234,217621.7595,207142.2935,149374.4229,268922.6379,403694.0897,252871.3496,380053.4753,165006.5307
7/31/2010,430680.1604,324067.0097,349368.2985,328876.4519,363877.4995,266503.0803,353794.4984,188863.5558,308467.0651,407915.4017,235874.3628,261526.7369,411947.0232,216588.7036,206279.0056,149837.7626,268648.3276,401429.3944,251518.9152,377600.6698,164829.4529
