Date,Bergen County,Middlesex County,Essex County,Hudson County,Monmouth County,Ocean County,Union County,Camden County,Passaic County,Morris County,Burlington County,Mercer County,Somerset County,Gloucester County,Atlantic County,Cumberland County,Sussex County,Hunterdon County,Warren County,Cape May County,Salem County
8/31/2007,449324.5422,346317.4908,391581.8373,371720.3125,404325.4665,317761.6523,401447.6671,204096.2424,363197.0563,445333.5917,273144.6539,289881.7375,440728.9344,240699.1718,244926.3976,171769.5232,306727.821,433533.5105,312469.4794,359205.9706,162751.7417
9/30/2007,447028.4904,344444.9393,388427.0305,370300.5553,403100.2178,315867.796,399483.7849,203426.6821,361777.7426,444233.6322,272055.7888,287812.5282,438804.707,240069.766,243130.8614,171663.8587,304806.5132,431895.954,311162.1435,358321.6746,163809.7505
10/31/2007,445145.4113,343515.1545,386394.9805,368668.786,401387.2059,313882.7835,399058.8786,202784.2456,359617.9965,443293.3663,270830.0188,285634.177,436696.7553,239177.6151,241687.3024,171290.7941,302672.9088,429687.061,309822.3187,357213.4479,165134.2366
11/30/2007,443519.4959,342747.3557,385611.6962,366976.5216,399744.5185,311127.4853,398120.6082,202364.1516,356744.9595,442083.3491,269577.1815,283912.4782,434859.7173,237918.8867,240184.1925,170691.2042,301774.9263,427199.0491,308120.3065,355886.3991,166440.2039
12/31/2007,441743.7653,341730.9189,384910.6284,364989.287,398817.8516,308612.4639,395952.1059,202148.6848,353623.7205,440458.7478,267742.0925,282040.2363,433351.3408,237611.0328,237988.1547,169403.029,301779.203,424731.2197,306866.5241,354664.6186,167007.7952
1/31/2008,439727.903,340904.1528,383990.5525,361790.2061,398312.2779,307705.5329,393270.6554,201634.108,351565.5872,437497.7941,266025.9444,280254.257,431772.7684,237781.7944,235776.7461,167768.4009,301819.75,422377.9392,306837.7553,353897.4179,166588.7934
2/29/2008,437886.0777,339950.882,382348.8309,360064.0277,397867.1739,307795.9318,390314.5558,201205.1592,350735.2709,433078.8204,264292.012,279141.2996,430329.6869,238337.578,234565.4599,166286.3245,300518.2451,421209.3267,308625.3691,354869.8415,165850.1143
3/31/2008,436176.4803,338613.063,381378.1279,355300.5225,397015.4387,307370.6882,387714.7606,200845.7123,349502.7302,428105.1199,263015.5629,277943.4753,428756.6664,237087.2888,234054.8688,165637.1994,297893.3169,419305.294,310028.0387,354416.1368,164580.3666
4/30/2008,434789.5031,336375.273,380359.3776,350811.8669,394781.3916,304266.2573,384565.3101,200303.994,346707.6442,423795.8231,261577.5502,276469.6243,425661.4029,235930.7227,233386.2829,165224.4489,294852.6863,416589.338,309099.1412,354563.3616,162986.5712
5/31/2008,432075.3886,333495.0074,378720.6408,344951.4671,391287.7595,300427.5662,381475.2286,199248.4931,342903.9207,419310.3202,259860.798,274007.4078,421979.755,234385.4812,231644.3952,165708.0595,291352.469,412274.3345,307197.8542,356652.945,162011.6597
6/30/2008,428284.1882,330221.4121,376705.8755,342723.4958,386207.3453,296916.9967,378041.912,197916.4061,339472.0488,415053.4114,258251.6877,271383.1491,418344.3073,233854.3509,229591.9657,166553.8129,288058.6601,408642.6075,303510.2484,360543.0704,161396.6071
7/31/2008,423728.1869,327184.3338,373848.3814,340772.1431,381642.8072,294671.2691,374195.8216,196379.8794,336657.661,411034.5917,256605.5817,269248.4143,415766.2247,232505.0128,227275.9397,167344.0134,284816.9918,405981.7029,298849.9964,364253.6358,161087.3876
